cpu_label,item_id,simulated_delay_ms,end_to_end_ms,server_embedding_ms,server_similarity_ms
0.1,Q_001,5,7900.531299994327,7500.432339991676,0.18687098054215312
0.1,Q_002,5,8899.374200031161,8000.047595996875,200.01125099952333
0.1,Q_003,5,10898.193500004709,10499.660725996364,0.22081498173065484
0.1,Q_004,5,8599.947500042617,7700.18917901325,0.18639900372363627
0.1,Q_005,5,10299.400600022636,9898.384522995912,0.6390390044543892
0.1,Q_006,5,11299.057999975048,10800.943328998983,0.27187701198272407
0.1,Q_007,5,12398.376099998131,11299.089442007244,299.4031489943154
0.1,Q_008,5,12099.107200047001,11500.010710995412,0.19327198970131576
0.1,Q_009,5,9099.433399969712,8401.009666995378,0.19945099484175444
0.1,Q_010,5,9099.742299993522,8001.063206000254,0.19897299353033304
0.1,Q_011,5,9898.968299967237,9101.130358991213,0.18853999790735543
0.1,Q_012,5,9298.164599924348,8875.277056999039,0.21059997379779816
0.1,Q_013,5,4996.7834999552,4489.185201993678,199.43350099492818
0.1,Q_014,5,9999.047999968752,9101.388971001143,0.25145598920062184
0.1,Q_015,5,12099.977499921806,11779.097552003805,0.42913100332953036
0.1,Q_016,5,11199.766999925487,10398.807766003301,0.6202709919307381
0.1,Q_017,5,8600.00539990142,8400.964047003072,0.3854839887935668
0.1,Q_018,5,11397.39030005876,10201.274568011286,0.33289400744251907
0.1,Q_019,5,10599.717899924144,10001.09527099994,0.2810769947245717
0.1,Q_020,5,8999.18089993298,8300.850139989052,0.43606600956991315
0.25,Q_001,5,4098.156900028698,4092.576724011451,0.07024098886176944
0.25,Q_002,5,2399.2502000182867,2294.7710859880317,99.69355299836025
0.25,Q_003,5,6198.699999949895,5877.060701983282,0.19210099708288908
0.25,Q_004,5,2099.901199922897,2077.5400399870705,0.06385700544342399
0.25,Q_005,5,2398.8617999712005,2281.2241690116934,99.95892000733875
0.25,Q_006,5,1499.2651999928057,1399.6623489947524,0.10388402733951807
0.25,Q_007,5,1599.5995999546722,1585.013539006468,0.16623700503259897
0.25,Q_008,5,1799.4374999543652,1782.4042020074558,0.1032650179695338
