cpu_label,phase,request_index,request_id,item_id,status,error_type,tcp_connect_ms,tcp_connect_error,total_elapsed_ms,cgroup_nr_periods_delta,cgroup_nr_throttled_delta,cgroup_throttled_time_delta_ns
0.25,immediate,8,79cef7fe,Q_008,success,,0.5,,197.8,992,991,0
0.25,immediate,9,37d1bc67,Q_009,success,,0.4,,197.5,992,991,0
0.25,immediate,10,62173652,Q_010,success,,0.6,,201.4,992,991,0
0.25,immediate,11,07926abb,Q_011,success,,0.5,,198.8,992,991,0
0.25,immediate,12,c173e1f0,Q_012,success,,18.3,,181.9,992,991,0
0.25,immediate,13,ff39d593,Q_013,success,,0.6,,199.9,992,991,0
0.25,immediate,14,cb577c0a,Q_014,success,,0.5,,990.6,992,991,0
0.25,immediate,15,576d7770,Q_015,success,,15.9,,1685.2,992,991,0
0.25,immediate,16,0562384b,Q_016,success,,17.8,,9781.3,992,991,0
0.25,immediate,17,a4d46374,Q_017,success,,19.3,,6879.7,992,991,0
0.25,immediate,18,1d285e32,Q_018,success,,14.2,,3985.9,992,991,0
0.25,immediate,19,b967b59a,Q_019,success,,18.8,,3978.3,992,991,0
0.25,immediate,20,8e6839bd,Q_020,success,,0.8,,5300.5,992,991,0
0.25,immediate,21,f4265767,Q_001,success,,0.5,,5698.0,992,991,0
0.25,immediate,22,7b9264ab,Q_002,success,,12.2,,4589.2,992,991,0
0.25,immediate,23,4fdd7ea0,Q_003,success,,24.0,,5672.9,992,991,0
0.25,immediate,24,2700d3de,Q_004,success,,0.9,,8299.8,992,991,0
0.25,immediate,25,5094f1f3,Q_005,success,,0.8,,4099.2,992,991,0
0.25,immediate,26,1fcdd35d,Q_006,success,,14.9,,5782.6,992,991,0
0.25,immediate,27,9fab9d0c,Q_007,success,,0.7,,8800.4,992,991,0
0.25,immediate,28,e2eadc3a,Q_008,success,,21.5,,4977.3,992,991,0
0.25,immediate,29,549bfd72,Q_009,success,,17.6,,7182.4,992,991,0
0.25,immediate,30,d0c5ac15,Q_010,success,,0.9,,7898.7,992,991,0
0.25,steady,1,64a0cc20,Q_001,success,,17.6,,5837.2,1189,1189,0
0.25,steady,2,d2d54949,Q_002,success,,0.7,,6098.8,1189,1189,0
0.25,steady,3,3d38a48d,Q_003,success,,0.7,,2599.0,1189,1189,0
0.25,steady,4,95c87f95,Q_004,success,,0.6,,5000.3,1189,1189,0
0.25,steady,5,5370df7f,Q_005,fail,read_timeout,12.3,,10023.6,1189,1189,0
0.25,steady,6,9a29098f,Q_006,success,,11.3,,8051.3,1189,1189,0
0.25,steady,7,ab8e9356,Q_007,success,,12.7,,6984.8,1189,1189,0
0.25,steady,8,1e5b3ada,Q_008,success,,12.0,,7587.6,1189,1189,0
0.25,steady,9,b9babc5c,Q_009,success,,0.8,,5498.6,1189,1189,0
0.25,steady,10,b8289e39,Q_010,success,,18.8,,5382.3,1189,1189,0
0.25,steady,11,fea31952,Q_011,fail,read_timeout,0.4,,10023.3,1189,1189,0
0.25,steady,12,f6a39e5b,Q_012,fail,read_timeout,15.0,,10016.0,1189,1189,0
0.25,steady,13,20cc5cc4,Q_013,fail,read_timeout,0.5,,10024.9,1189,1189,0
0.25,steady,14,745931bc,Q_014,fail,read_timeout,14.8,,10012.6,1189,1189,0
0.25,steady,15,5bd2cfb5,Q_015,fail,read_timeout,14.8,,10025.9,1189,1189,0
0.25,steady,16,b611ab13,Q_016,success,,15.7,,2639.4,1189,1189,0
0.25,steady,17,20d048c9,Q_017,success,,14.3,,183.6,1189,1189,0
0.25,steady,18,f2707022,Q_018,success,,0.4,,198.7,1189,1189,0
0.25,steady,19,00cccaff,Q_019,success,,0.4,,201.5,1189,1189,0
0.25,steady,20,bb058f89,Q_020,success,,0.5,,291.0,1189,1189,0
0.25,steady,21,b1dc6a43,Q_001,success,,11.8,,190.1,1189,1189,0
