rep_index,old_ms,new_ms
0,0.0017999846022576094,0.13309999485500157
1,0.001300009898841381,0.1260999997612089
2,0.001200009137392044,0.1244999875780195
3,0.001100008375942707,0.12409998453222215
4,0.001100008375942707,0.12509999214671552
5,0.001100008375942707,0.12299997615627944
6,0.001100008375942707,0.12340000830590725
7,0.0010999792721122503,0.1218999968841672
8,0.001100008375942707,0.12199999764561653
9,0.001100008375942707,0.16289998893626034
10,0.0015999830793589354,0.1345000055152923
11,0.001200009137392044,0.12620000052265823
12,0.001400010660290718,0.12539999443106353
13,0.001100008375942707,0.12499999138526618
14,0.00100000761449337,0.12389998300932348
15,0.001100008375942707,0.12270000297576189
16,0.001100008375942707,0.12410001363605261
17,0.0010999792721122503,0.12330000754445791
18,0.001100008375942707,0.12209999840706587
19,0.00100000761449337,0.12360000982880592
20,0.0009999785106629133,0.12280000373721123
21,0.001100008375942707,0.12250000145286322
22,0.0009999785106629133,0.12240000069141388
23,0.001100008375942707,0.12479998986236751
24,0.001100008375942707,0.15899998834356666
25,0.001600012183189392,0.20669997320510447
26,0.002200016751885414,0.31629999284632504
27,0.002200016751885414,0.17399998614564538
28,0.001600012183189392,0.15499998698942363
29,0.0012999807950109243,0.1440000196453184
30,0.0012999807950109243,0.14210000517778099
31,0.001500011421740055,0.14080002438277006
32,0.0011999800335615873,0.1379000023007393
33,0.001300009898841381,0.13380000018514693
34,0.001100008375942707,0.18599999020807445
35,0.001500011421740055,0.14200000441633165
36,0.0009999785106629133,0.12240000069141388
37,0.001100008375942707,0.12099999003112316
38,0.001100008375942707,0.11969998013228178
39,0.00100000761449337,0.12700000661425292
40,0.0009999785106629133,0.27310001314617693
41,0.002400018274784088,0.17749998369254172
42,0.001400010660290718,0.14769998961128294
43,0.001200009137392044,0.13029997353442013
44,0.001200009137392044,0.12740000966005027
45,0.0010999792721122503,0.12519999290816486
46,0.001200009137392044,0.12760001118294895
47,0.001100008375942707,0.12969999806955457
48,0.001100008375942707,0.12969999806955457
49,0.0010999792721122503,0.12920002336613834
50,0.001100008375942707,0.13110000872984529
51,0.0010999792721122503,0.12579999747686088
52,0.001100008375942707,0.3648999845609069
53,0.00200001522898674,0.15209999401122332
54,0.0013999815564602613,0.14099999680183828
55,0.001100008375942707,0.12730000889860094
56,0.001100008375942707,0.12340000830590725
57,0.0010999792721122503,0.12179999612271786
58,0.001100008375942707,0.12499999138526618
59,0.001100008375942707,0.12169999536126852
60,0.001100008375942707,0.12169999536126852
61,0.0010999792721122503,0.12070001685060561
62,0.0009999785106629133,0.14479999663308263
63,0.001200009137392044,0.13800000306218863
64,0.0010999792721122503,0.13130001025274396
65,0.00100000761449337,0.12079998850822449
66,0.00100000761449337,0.12049998622387648
