fold,threshold_f1,classifier_f1
1,0.5349143610013175,0.8000000000000002
2,0.4848484848484848,0.6527777777777778
3,0.4541062801932367,0.7236467236467236
4,0.6333333333333334,0.7633477633477633
5,0.5281803542673108,0.8047138047138046
6,0.5164983164983165,0.6239057239057239
7,0.38181818181818183,0.5476190476190476
8,0.4126984126984126,0.8553178847296493
9,0.34188034188034183,0.5934343434343434
10,0.6894409937888198,0.6007326007326008
