variant,n_features,mean_macro_f1,std_macro_f1
6 raw blocks only,6,0.6126326855119425,0.07832397157013242
6 blocks + mean_sim only,7,0.6126326855119425,0.07832397157013242
6 blocks + std_sim + margin,8,0.6926261220146669,0.10288069233415685
full 9-dim (baseline),9,0.6965495669907436,0.10645404093704487
full 9-dim minus block2,8,0.6856871637134795,0.07339315164749068
full 9-dim minus std_sim,8,0.680627498862793,0.095395993424692
full 9-dim minus margin,8,0.6954273358220726,0.10208662008675028
full 9-dim minus mean_sim,8,0.6926261220146669,0.10288069233415685
