cpu_label,item_id,simulated_delay_ms,end_to_end_ms,server_embedding_ms,server_similarity_ms
0.5,Q_001,5,2399.2441999725997,2199.504508986138,0.07222601561807096
0.5,Q_002,5,1503.5118999658152,1403.5587490070611,0.0710620079189539
0.5,Q_003,5,2197.662799968384,2183.2153059949633,0.06674800533801317
0.5,Q_004,5,3697.930100024678,3500.65820699092,0.06068800576031208
0.5,Q_005,5,2302.652999991551,2297.542390995659,0.06018299609422684
0.5,Q_006,5,1196.9032000051811,1083.4014359861612,0.10106599074788392
0.5,Q_007,5,3398.2160999439657,3099.9999600171577,0.10959699284285307
0.5,Q_008,5,2700.214199954644,2581.6003950021695,0.0645589898340404
0.5,Q_009,5,1400.1165999798104,1279.9337500182446,0.08634498226456344
0.5,Q_010,5,1498.3694999245927,1204.4238599773962,0.06156400195322931
0.5,Q_011,5,2600.0421999488026,2583.3018260018434,0.07443298818543553
0.5,Q_012,5,2399.988199933432,2300.377250998281,0.06816600216552615
0.5,Q_013,5,2404.2079999344423,2393.70843701181,0.06159697659313679
0.5,Q_014,5,994.4358000066131,872.766132990364,100.13591800816357
0.5,Q_015,5,2600.1602000324056,2400.3578780102544,99.62816600454971
0.5,Q_016,5,2298.9151999354362,2199.7234699956607,0.0691780005581677
0.5,Q_017,5,3199.235999956727,3182.1204110165127,0.12622697977349162
0.5,Q_018,5,2399.9878000468016,2394.8120250133798,0.059672020142897964
0.5,Q_019,5,3099.6678000083193,3093.471258995123,0.1513090101070702
0.5,Q_020,5,799.9377000378445,775.9228500071913,0.06849097553640604
0.6,Q_001,5,1100.9404000360519,1001.4792710135225,0.07629097672179341
0.6,Q_002,5,1298.409500042908,1100.8217230264563,0.09382300777360797
0.6,Q_003,5,1202.2300999378785,1103.5445609886665,0.07419398752972484
0.6,Q_004,5,2795.0943000614643,2600.5455639970023,0.0968890090007335
0.6,Q_005,5,600.2458999864757,481.10528200049885,100.231789983809
0.6,Q_006,5,1603.2267999835312,1577.5181150238495,0.0750900071579963
0.6,Q_007,5,3295.1827000360936,3191.0689620126504,0.1276459952350706
0.6,Q_008,5,1800.4362999927253,1783.936784020625,0.06459897849708796
0.6,Q_009,5,1400.0946000451222,1201.0827740014065,0.09882598533295095
0.6,Q_010,5,2298.175900010392,2194.224397011567,0.07952901069074869
0.6,Q_011,5,3000.559199950658,2995.0208550144453,0.07753100362606347
0.6,Q_012,5,2698.4845999395475,2474.815622001188,0.06348901661112905
0.6,Q_013,5,1499.3190999375656,1394.1463329829276,0.07387899677269161
0.6,Q_014,5,1599.9668999575078,1494.5822920126375,0.07294400711543858
0.6,Q_015,5,1600.0448999693617,1593.0512670020107,0.1099820074159652
0.6,Q_016,5,3498.4317999333143,3385.0748440017924,0.17061899416148663
0.6,Q_017,5,1399.4172000093386,1275.353520992212,0.0629809801466763
0.6,Q_018,5,1002.875900012441,998.5493179992773,0.07164198905229568
0.6,Q_019,5,2898.073000018485,2877.343407017179,0.12176198652014136
0.6,Q_020,5,1298.6854000482708,1200.3140279848594,0.10054599260911345
0.7,Q_001,5,900.8767000632361,895.6958780181594,0.07129201549105346
0.7,Q_002,5,2901.1364000616595,2878.235037002014,0.061494007240980864
0.7,Q_003,5,2198.781799990684,2173.36854399764,0.06664497777819633
0.7,Q_004,5,1199.0214000688866,1183.987010997953,0.09550200775265694
0.7,Q_005,5,698.1765000382438,683.8173370051663,0.10452701826579869
0.7,Q_006,5,399.31230002548546,374.0262810024433,0.0837150146253407
0.7,Q_007,5,1303.1898000044748,1202.7670739917085,0.06377897807396948
0.7,Q_008,5,1797.256699996069,1682.7536989876535,100.37278299569152
0.7,Q_009,5,2197.8828998981044,2091.490237013204,0.07247598841786385
0.7,Q_010,5,899.8178999172524,772.7193540195003,0.06405299063771963
0.7,Q_011,5,2802.5212000356987,2797.758894012077,0.06423398735933006
0.7,Q_012,5,1397.6520000724122,1381.5377179998904,0.08784999954514205
0.7,Q_013,5,2098.63000002224,2083.8005390251055,0.07225098670460284
0.7,Q_014,5,1198.9426999352872,1192.8979830117896,0.06619299529120326
0.7,Q_015,5,902.6193999452516,883.5383649857249,0.08924200665205717
0.7,Q_016,5,1198.5761999385431,1184.4875149836298,0.12117598089389503
0.7,Q_017,5,1202.5383000727743,1104.5632629829925,0.05951998173259199
0.7,Q_018,5,1794.6320000337437,1698.9362800086383,0.06352300988510251
0.7,Q_019,5,1401.146600022912,1377.7619370084722,0.07608000305481255
0.7,Q_020,5,1100.443399976939,1091.1365489882883,0.0623480009380728
0.8,Q_001,5,602.2763999644667,597.1441479923669,0.0630300201009959
0.8,Q_002,5,599.8429999453947,594.8682820016984,0.06835200474597514
0.8,Q_003,5,398.8712999271229,302.82165500102565,0.06259200745262206
0.8,Q_004,5,799.794299993664,703.5996229969896,0.08824700489640236
0.8,Q_005,5,397.10409997496754,300.37368499324657,0.06541400216519833
0.8,Q_006,5,1100.3468000562862,1077.523165004095,0.06687900167889893
0.8,Q_007,5,1797.627600026317,1773.0852850072552,0.10524500976316631
0.8,Q_008,5,902.8217999730259,897.5855239841621,0.06432097870856524
0.8,Q_009,5,396.4665000094101,389.99677399988286,0.06406600004993379
0.8,Q_010,5,1099.2434000363573,1074.108906002948,0.09632398723624647
0.8,Q_011,5,800.8669000118971,772.8708270005882,0.12849998893216252
0.8,Q_012,5,697.7607000153512,593.0197410052642,0.09746701107360423
0.8,Q_013,5,700.923900003545,672.5854270043783,0.06339099491015077
0.8,Q_014,5,698.5445000464097,693.8869279983919,0.07107897545211017
0.8,Q_015,5,600.8667999412864,476.11200099345297,0.06224098615348339
0.8,Q_016,5,1501.4546000165865,1402.9005540069193,0.06262699025683105
0.8,Q_017,5,1000.4219999536872,903.9982190006413,0.0839240092318505
0.8,Q_018,5,1095.4809000249952,899.3172139744274,0.06866501644253731
0.8,Q_019,5,902.8039999539033,802.9962890141178,0.1737790007609874
0.8,Q_020,5,1298.731700051576,1284.641851001652,0.06941001629456878
0.9,Q_001,5,27.490700013004243,6.6668830113485456,0.06536298315040767
0.9,Q_002,5,672.390199964866,600.3251479996834,0.07246399763971567
0.9,Q_003,5,398.44819996505976,282.9206010210328,0.08100501145236194
0.9,Q_004,5,501.4558000257239,477.4061049974989,0.09178300388157368
0.9,Q_005,5,601.182600017637,593.2858070009388,0.09787699673324823
0.9,Q_006,5,496.0706999991089,383.02864698925987,0.15270299627445638
0.9,Q_007,5,303.8422999670729,204.09221699810587,0.06170599954202771
0.9,Q_008,5,797.8016999550164,776.1578969948459,0.06686101551167667
0.9,Q_009,5,297.659800038673,290.58066799188964,0.08029700256884098
0.9,Q_010,5,501.5401999698952,491.70108599355444,0.06462700548581779
0.9,Q_011,5,401.2390000279993,377.0486089924816,0.09540299652144313
0.9,Q_012,5,596.3053000159562,499.3755310133565,0.12417000834830105
0.9,Q_013,5,401.24319994356483,386.61009501083754,0.10689100599847734
0.9,Q_014,5,399.9805001076311,394.4253959925845,0.06838899571448565
0.9,Q_015,5,299.8905999120325,292.6214059989434,0.07037498289719224
0.9,Q_016,5,498.41170001309365,493.7117139925249,0.08204099140129983
0.9,Q_017,5,497.62339994776994,393.0974089889787,0.09795100777409971
0.9,Q_018,5,201.82169997133315,175.6919100007508,0.05962100112810731
0.9,Q_019,5,500.29019999783486,476.3702820055187,0.06400898564606905
0.9,Q_020,5,400.03210003487766,302.5773800036404,0.09346200386062264
1.0,Q_001,5,392.9437000770122,300.25032901903614,0.06926400237716734
1.0,Q_002,5,198.11640004627407,82.5065840035677,0.0630269933026284
1.0,Q_003,5,203.79669999238104,176.86315800528973,0.09231499279849231
1.0,Q_004,5,196.68940000701696,78.74502902268432,0.08122198050841689
1.0,Q_005,5,199.49390005785972,77.57880401914008,0.09517298894934356
1.0,Q_006,5,299.92870008572936,175.61746700084768,0.10542100062593818
1.0,Q_007,5,202.12819997686893,179.5846440072637,0.06941502215340734
1.0,Q_008,5,104.05630001332611,82.73010500124656,0.0962229969445616
