elapsed_sec,cpu_perc,mem_usage,mem_perc
1.2,11.49,364.1MiB / 512MiB,71.11
3.3,13.33,371.1MiB / 512MiB,72.48
5.3,9.64,387.8MiB / 512MiB,75.74
7.4,10.52,441.5MiB / 512MiB,86.22
10.4,8.72,435.6MiB / 512MiB,85.08
12.4,9.70,445.3MiB / 512MiB,86.97
14.5,8.68,440.6MiB / 512MiB,86.06
16.5,9.60,440.3MiB / 512MiB,86.00
18.6,9.09,439.8MiB / 512MiB,85.89
21.6,9.21,439.7MiB / 512MiB,85.88
23.6,10.20,438.4MiB / 512MiB,85.62
25.7,9.11,436.9MiB / 512MiB,85.33
27.7,10.04,438.4MiB / 512MiB,85.63
30.7,7.87,456MiB / 512MiB,89.06
