elapsed_sec,cpu_perc,mem_usage,mem_perc
1.1,10.61,456.2MiB / 512MiB,89.11
3.1,12.56,446.9MiB / 512MiB,87.29
5.1,10.66,438.2MiB / 512MiB,85.58
8.1,9.43,440.7MiB / 512MiB,86.07
10.2,8.29,437.1MiB / 512MiB,85.38
12.2,9.69,417.5MiB / 512MiB,81.53
14.3,12.89,448.8MiB / 512MiB,87.65
16.3,10.13,446.8MiB / 512MiB,87.26
19.3,10.29,446.4MiB / 512MiB,87.18
21.4,7.85,445.4MiB / 512MiB,86.99
23.4,6.82,443.2MiB / 512MiB,86.56
25.5,10.34,442.5MiB / 512MiB,86.43
28.5,10.95,441.7MiB / 512MiB,86.27
30.5,8.02,441.6MiB / 512MiB,86.25
