elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,196.55,419.4MiB / 512MiB,81.90
3.1,191.66,419.8MiB / 512MiB,81.99
5.1,198.89,419.5MiB / 512MiB,81.93
8.1,199.18,419.5MiB / 512MiB,81.93
10.2,199.10,419.7MiB / 512MiB,81.98
12.2,199.83,420MiB / 512MiB,82.03
14.3,197.68,420MiB / 512MiB,82.03
17.3,198.45,420MiB / 512MiB,82.02
19.4,199.25,420.2MiB / 512MiB,82.07
21.4,203.20,420.2MiB / 512MiB,82.07
23.5,198.50,419.9MiB / 512MiB,82.01
25.5,197.02,419.9MiB / 512MiB,82.00
28.5,205.62,419.8MiB / 512MiB,82.00
30.6,125.46,419.3MiB / 512MiB,81.90
