elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,107.44,419.6MiB / 512MiB,81.95
3.1,100.03,419.8MiB / 512MiB,82.00
6.1,98.90,420.1MiB / 512MiB,82.05
8.2,96.41,419.8MiB / 512MiB,82.00
10.2,98.97,420.1MiB / 512MiB,82.05
12.3,98.86,420.1MiB / 512MiB,82.05
15.3,100.38,419.8MiB / 512MiB,81.99
17.3,100.31,419.8MiB / 512MiB,81.99
19.4,99.54,419.8MiB / 512MiB,81.99
21.4,100.59,419.8MiB / 512MiB,81.99
23.5,99.45,419.8MiB / 512MiB,81.99
26.5,99.69,419.8MiB / 512MiB,81.99
28.5,99.66,419.8MiB / 512MiB,81.99
30.6,71.86,419.8MiB / 512MiB,81.99
