elapsed_sec,cpu_perc,mem_usage,mem_perc
1.1,101.42,419.7MiB / 512MiB,81.97
3.1,100.13,419.7MiB / 512MiB,81.97
5.1,99.95,419.9MiB / 512MiB,82.02
7.2,99.97,419.9MiB / 512MiB,82.02
10.2,101.75,419.6MiB / 512MiB,81.95
12.2,100.64,419.9MiB / 512MiB,82.00
14.3,100.03,420.1MiB / 512MiB,82.05
16.3,99.45,420.1MiB / 512MiB,82.05
18.4,99.47,419.8MiB / 512MiB,82.00
21.4,99.77,420.1MiB / 512MiB,82.05
23.4,99.83,420.1MiB / 512MiB,82.04
25.5,99.68,419.8MiB / 512MiB,81.99
27.5,100.62,420MiB / 512MiB,82.04
30.5,83.32,419.8MiB / 512MiB,81.99
