elapsed_sec,cpu_perc,mem_usage,mem_perc
1.1,196.10,419.8MiB / 512MiB,81.98
3.2,198.05,419.7MiB / 512MiB,81.98
5.2,198.49,419.7MiB / 512MiB,81.97
7.3,198.88,419.7MiB / 512MiB,81.97
10.3,200.72,419.7MiB / 512MiB,81.97
12.3,206.93,419.9MiB / 512MiB,82.01
14.4,198.60,419.9MiB / 512MiB,82.01
16.4,196.18,420.1MiB / 512MiB,82.05
19.4,199.12,420.1MiB / 512MiB,82.05
21.5,198.80,420.3MiB / 512MiB,82.09
23.6,201.75,420.3MiB / 512MiB,82.08
25.6,199.79,420MiB / 512MiB,82.03
27.7,198.63,420MiB / 512MiB,82.03
30.7,104.58,419.9MiB / 512MiB,82.02
