elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,50.49,440MiB / 512MiB,85.93
3.1,47.88,439.9MiB / 512MiB,85.91
5.2,49.22,439.9MiB / 512MiB,85.93
8.2,50.98,401.5MiB / 512MiB,78.42
10.2,50.03,412.8MiB / 512MiB,80.62
12.3,50.98,414.2MiB / 512MiB,80.91
14.3,49.61,418.7MiB / 512MiB,81.78
16.4,49.92,414.3MiB / 512MiB,80.91
19.4,51.87,414.7MiB / 512MiB,81.00
21.4,49.73,418.4MiB / 512MiB,81.73
23.5,49.43,418.4MiB / 512MiB,81.72
25.5,50.47,418.7MiB / 512MiB,81.77
28.5,50.39,418.9MiB / 512MiB,81.82
30.6,50.66,418.9MiB / 512MiB,81.82
