elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,50.98,419.1MiB / 512MiB,81.86
4.1,50.19,419.4MiB / 512MiB,81.91
6.1,48.22,419.4MiB / 512MiB,81.91
8.2,49.97,419.6MiB / 512MiB,81.95
10.2,50.00,419.6MiB / 512MiB,81.95
13.2,49.43,419.6MiB / 512MiB,81.95
15.3,49.35,419.6MiB / 512MiB,81.95
17.3,49.71,419.6MiB / 512MiB,81.95
19.4,50.04,419.6MiB / 512MiB,81.95
22.4,50.02,419.8MiB / 512MiB,82.00
24.4,50.13,419.8MiB / 512MiB,82.00
26.5,49.38,419.6MiB / 512MiB,81.95
28.5,50.14,419.6MiB / 512MiB,81.95
30.6,49.87,419.6MiB / 512MiB,81.95
