elapsed_sec,cpu_perc,mem_usage,mem_perc
1.9,197.72,419.8MiB / 512MiB,81.99
4.0,199.01,419.8MiB / 512MiB,81.99
6.0,198.93,419.8MiB / 512MiB,81.99
8.1,199.41,419.8MiB / 512MiB,81.99
10.1,199.57,419.7MiB / 512MiB,81.98
13.1,198.31,419.4MiB / 512MiB,81.92
15.2,199.47,419.1MiB / 512MiB,81.86
17.2,193.40,418.8MiB / 512MiB,81.80
19.3,200.47,418.6MiB / 512MiB,81.75
22.3,201.13,418.5MiB / 512MiB,81.74
24.3,198.01,418.5MiB / 512MiB,81.74
26.4,198.57,418.7MiB / 512MiB,81.78
28.4,202.67,419.2MiB / 512MiB,81.87
30.5,144.63,419.9MiB / 512MiB,82.01
