elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,7.86,441.4MiB / 512MiB,86.21
3.1,7.90,441.4MiB / 512MiB,86.21
6.1,9.02,440.9MiB / 512MiB,86.12
8.1,10.52,441.1MiB / 512MiB,86.15
10.2,7.36,440.9MiB / 512MiB,86.11
12.2,8.74,441MiB / 512MiB,86.13
15.2,10.98,440.8MiB / 512MiB,86.09
17.3,9.27,440.6MiB / 512MiB,86.05
19.3,10.29,440.7MiB / 512MiB,86.07
21.4,10.08,439.6MiB / 512MiB,85.87
23.4,9.83,439.7MiB / 512MiB,85.88
26.4,7.34,439.6MiB / 512MiB,85.86
28.5,7.34,439.6MiB / 512MiB,85.86
30.5,11.70,439.7MiB / 512MiB,85.87
