elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,200.41,419.9MiB / 512MiB,82.01
3.1,198.08,419.8MiB / 512MiB,82.00
5.1,198.09,419.8MiB / 512MiB,81.99
7.2,202.79,420MiB / 512MiB,82.03
10.2,201.90,419.7MiB / 512MiB,81.98
12.3,199.08,419.5MiB / 512MiB,81.92
14.3,200.96,419.9MiB / 512MiB,82.01
16.4,198.36,419.9MiB / 512MiB,82.01
19.4,197.06,419.8MiB / 512MiB,82.00
21.4,199.25,419.6MiB / 512MiB,81.95
23.5,198.79,419.3MiB / 512MiB,81.89
25.5,200.90,419.5MiB / 512MiB,81.93
27.6,200.02,419.9MiB / 512MiB,82.01
30.6,129.28,419.6MiB / 512MiB,81.95
