elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,200.28,419.6MiB / 512MiB,81.95
3.1,197.99,419.6MiB / 512MiB,81.95
5.1,200.37,419.6MiB / 512MiB,81.95
8.2,199.57,419.6MiB / 512MiB,81.94
10.2,202.40,419.3MiB / 512MiB,81.89
12.3,198.85,419.5MiB / 512MiB,81.94
14.3,199.61,419.5MiB / 512MiB,81.93
17.3,198.34,419.2MiB / 512MiB,81.88
19.4,197.81,419.4MiB / 512MiB,81.92
21.4,205.09,419.4MiB / 512MiB,81.92
23.5,200.35,419.1MiB / 512MiB,81.86
25.5,196.26,419.1MiB / 512MiB,81.86
28.5,199.22,419.8MiB / 512MiB,82.00
30.6,125.06,419.8MiB / 512MiB,81.99
