elapsed_sec,cpu_perc,mem_usage,mem_perc
1.0,50.87,418.9MiB / 512MiB,81.82
3.1,50.06,418.6MiB / 512MiB,81.77
6.1,50.08,418.9MiB / 512MiB,81.82
8.2,49.81,418.9MiB / 512MiB,81.81
10.2,50.87,419.1MiB / 512MiB,81.86
12.3,50.16,419.1MiB / 512MiB,81.86
15.3,50.58,419.1MiB / 512MiB,81.86
17.3,49.80,419.1MiB / 512MiB,81.86
19.4,49.64,419.1MiB / 512MiB,81.86
21.4,50.10,419.1MiB / 512MiB,81.86
23.5,49.87,418.9MiB / 512MiB,81.81
26.5,50.39,419.1MiB / 512MiB,81.86
28.5,50.78,419.1MiB / 512MiB,81.86
30.6,50.21,419.1MiB / 512MiB,81.86
